Tiempo (s),Input (rpm),Setpoint (rpm),Output (PWM)
0.00011086463928222656,0.0,245.91,190.96
0.05293130874633789,190.0,245.13,191.23
1.7244541645050049,190.0,255.0,12.83
1.776132583618164,190.0,50.0,16.09
1.8028395175933838,190.0,50.0,18.78
1.8260273933410645,190.0,255.0,22.26
1.8508949279785156,190.0,50.0,23.87
1.8741159439086914,190.0,50.0,25.38
1.8973140716552734,190.0,50.0,26.8
1.9208455085754395,190.0,50.0,28.06
1.9452238082885742,190.0,255.0,31.03
1.9685003757476807,190.0,50.0,31.94
1.9925613403320312,190.0,50.0,32.61
2.0166590213775635,190.0,50.0,33.39
2.0404281616210938,190.0,50.0,34.73
2.064063310623169,190.0,50.0,35.74
2.088294267654419,190.0,255.0,46.03
2.1127963066101074,190.0,50.0,46.17
2.137526273727417,190.0,50.0,46.52
2.1619818210601807,190.0,50.0,47.33
2.186518907546997,190.0,50.0,47.98
2.2154996395111084,190.0,255.0,58.92
2.239896059036255,190.0,50.0,58.34
2.2644927501678467,190.0,50.0,58.29
2.288973808288574,190.0,50.0,58.5
2.313520908355713,190.0,255.0,68.92
2.342353343963623,190.0,50.0,67.95
2.3667871952056885,190.0,50.0,67.5
2.391350269317627,190.0,50.0,67.19
2.416067600250244,190.0,255.0,77.31
2.440594434738159,190.0,50.0,75.8
2.4651401042938232,190.0,50.0,74.83
2.4897189140319824,190.0,50.0,74.15
2.5184571743011475,190.0,255.0,85.89
2.5429208278656006,190.0,255.0,95.41
2.5717179775238037,190.0,255.0,103.9
2.596353769302368,190.0,255.0,112.38
2.625042200088501,190.0,255.0,119.89
2.653855562210083,190.0,255.0,127.12
2.678255319595337,190.0,255.0,133.2
2.7076222896575928,190.0,255.0,138.27
2.731438398361206,190.0,255.0,143.28
2.760396957397461,190.0,255.0,147.31
2.788990020751953,190.0,255.0,151.22
2.8133633136749268,190.0,255.0,155.55
2.8423666954040527,190.0,255.0,158.17
2.8710434436798096,190.0,255.0,162.08
2.895328998565674,190.0,255.0,164.33
2.9246816635131836,190.0,255.0,167.06
2.9485299587249756,190.0,255.0,168.79
2.97731876373291,190.0,255.0,172.34
3.006211042404175,190.0,255.0,172.8
3.0306222438812256,190.0,255.0,175.11
3.059483528137207,190.0,255.0,177.01
3.0838027000427246,190.0,255.0,177.48
3.1126723289489746,190.0,255.0,179.93
3.141676425933838,190.0,255.0,181.42
3.165743112564087,190.0,255.0,182.18
3.1945419311523438,190.0,255.0,182.43
3.2233035564422607,190.0,255.0,184.24
3.247607946395874,190.0,255.0,185.28
3.276613235473633,190.0,255.0,186.07
3.3010001182556152,190.0,255.0,186.59
3.3298535346984863,190.0,255.0,186.59
3.3585309982299805,190.0,255.0,186.87
3.3829386234283447,190.0,255.0,189.3
3.411618947982788,190.0,255.0,189.85
3.4361836910247803,190.0,255.0,189.57
3.4649477005004883,190.0,255.0,189.02
3.493804931640625,190.0,255.0,189.31
3.5181734561920166,190.0,255.0,189.58
3.5469048023223877,190.0,255.0,190.41
3.5713348388671875,190.0,255.0,190.4
3.6000006198883057,190.0,254.64,190.96
3.6289234161376953,190.0,254.64,192.37
3.6533329486846924,190.0,254.64,192.08
3.6821863651275635,190.0,254.64,191.24
3.71073842048645,190.0,253.76,191.52
3.735248327255249,190.0,253.76,190.96
3.764033317565918,190.0,253.76,190.42
3.78847074508667,190.0,253.76,192.08
3.817831516265869,190.0,252.59,192.93
3.845834255218506,190.0,252.59,192.36
3.8703699111938477,190.0,252.59,192.37
3.899744987487793,190.0,252.59,191.24
3.923610210418701,190.0,252.68,191.52
3.952561378479004,190.0,252.68,191.24
3.9811034202575684,190.0,252.68,191.24
4.005628347396851,190.0,252.68,191.25
4.0350446701049805,190.0,252.28,191.53
4.063065052032471,190.0,252.28,192.93
4.087514400482178,190.0,252.28,192.09
4.11689019203186,190.0,252.28,191.52
4.140716552734375,190.0,251.63,190.96
4.170216083526611,190.0,251.63,191.79
4.198214292526245,190.0,251.63,190.4
4.223433017730713,190.0,251.63,189.85
4.25206995010376,190.0,252.64,191.24
4.2760186195373535,190.0,252.64,191.53
4.305356740951538,190.0,252.64,192.37
4.333516836166382,190.0,252.64,191.81
4.358000755310059,190.0,250.93,190.96
4.386712551116943,190.0,250.93,191.52
4.415555000305176,190.0,250.93,190.96
4.440602540969849,190.0,250.93,190.12
4.468719005584717,190.0,251.86,190.13
4.4931862354278564,190.0,251.86,191.24
4.522595167160034,190.0,251.86,191.24
4.550565242767334,190.0,251.86,191.24
4.5753724575042725,190.0,250.82,191.25
4.6039509773254395,190.0,250.82,191.51
4.628326892852783,190.0,250.82,190.4
4.657666921615601,190.0,250.82,189.85
4.686164379119873,190.0,251.67,189.85
4.710315227508545,190.0,251.67,190.68
4.739327907562256,190.0,251.67,191.52
4.767649412155151,190.0,251.67,191.25
4.792160987854004,190.0,250.45,191.24
4.821486473083496,190.0,250.45,190.96
4.845472574234009,190.0,250.45,190.4
4.874580144882202,190.0,250.45,189.85
4.903525352478027,190.0,251.31,189.58
4.927359580993652,190.0,251.31,190.41
4.956320524215698,190.0,251.31,191.24
4.980588436126709,190.0,251.31,191.24
5.009368896484375,190.0,250.11,191.24
5.038109302520752,190.0,250.11,190.4
5.0624754428863525,190.0,250.11,190.12
5.091444492340088,190.0,250.11,190.12
5.115889072418213,190.0,250.72,190.13
5.1446263790130615,190.0,250.72,190.98
5.173226594924927,190.0,250.72,191.52
5.197841644287109,190.0,250.72,191.24
5.226471185684204,190.0,249.67,190.96
5.255181074142456,190.0,249.67,190.4
5.27971887588501,190.0,249.67,189.57
5.308576345443726,190.0,249.67,188.76
5.333101749420166,190.0,251.51,190.12
5.3618879318237305,190.0,251.51,190.4
5.39033317565918,190.0,251.51,190.41
5.414928197860718,190.0,251.51,191.24
5.443742752075195,190.0,249.67,190.4
5.468208074569702,190.0,249.67,190.4
5.49689793586731,190.0,249.67,189.58
5.525627374649048,190.0,249.67,189.85
5.550125598907471,190.0,250.52,190.41
5.578927278518677,190.0,250.52,190.96
5.607616424560547,190.0,250.52,190.96
5.632272005081177,190.0,250.52,190.96
5.660967588424683,190.0,249.57,190.67
5.6854918003082275,190.0,249.57,189.57
5.714061260223389,190.0,249.57,189.58
5.742895841598511,190.0,249.57,189.31
5.767567873001099,190.0,250.75,189.84
5.7960591316223145,190.0,250.75,190.41
5.820538759231567,190.0,250.75,190.96
5.8493757247924805,190.0,250.75,189.85
5.877979278564453,190.0,250.48,190.12
5.902360439300537,190.0,250.48,189.57
5.931178569793701,190.0,250.48,189.3
5.9598517417907715,190.0,250.48,190.14
5.984330177307129,190.0,250.27,191.24
6.013176202774048,190.0,250.27,190.96
6.037722587585449,190.0,250.27,190.68
6.066468238830566,190.0,250.27,190.39
6.095035076141357,190.0,249.99,190.12
6.119522333145142,190.0,249.99,189.85
6.148332118988037,190.0,249.99,189.86
6.172844171524048,190.0,249.99,190.12
6.201420307159424,190.0,250.11,190.4
6.230123281478882,190.0,250.11,191.24
6.254730939865112,190.0,250.11,190.4
6.283703327178955,190.0,250.11,190.12
6.312249422073364,190.0,250.07,190.12
6.336635112762451,190.0,250.07,189.58
6.3656837940216064,190.0,250.07,189.86
6.390025615692139,190.0,250.07,189.57
6.418819904327393,190.0,250.53,190.96
6.447547197341919,190.0,250.53,191.24
6.47197413444519,190.0,250.53,190.69
6.5007452964782715,190.0,250.53,189.84
6.525149345397949,190.0,250.42,189.84
6.553849458694458,190.0,250.42,190.13
6.582417726516724,190.0,250.42,190.68
6.607125759124756,190.0,250.42,191.24
6.636059284210205,190.0,249.22,191.24
6.660478591918945,190.0,249.22,190.96
6.689296245574951,190.0,249.22,190.4
6.717740058898926,190.0,249.22,190.12
6.7423341274261475,190.0,249.82,189.58
6.7717061042785645,190.0,249.82,189.85
6.799713850021362,190.0,249.82,190.12
6.824209690093994,190.0,249.82,190.13
6.852944612503052,190.0,249.77,191.24
6.877926826477051,190.0,249.77,190.39
6.906371355056763,190.0,249.77,189.84
6.934951066970825,190.0,249.77,189.58
6.959481477737427,190.0,250.23,189.02
6.9881978034973145,190.0,250.23,190.13
7.01264214515686,190.0,250.23,189.3
7.041461229324341,190.0,250.23,190.41
7.070207834243774,190.0,249.62,190.69
7.094615459442139,190.0,249.62,190.96
7.123847484588623,190.0,249.62,189.85
7.152082681655884,190.0,249.62,189.58
7.1765241622924805,190.0,250.24,189.85
7.205935955047607,190.0,250.24,189.86
7.229777812957764,190.0,250.24,190.68
7.259024381637573,190.0,250.24,190.96
7.287314414978027,190.0,249.13,190.12
7.31169319152832,190.0,249.13,189.85
7.340622663497925,190.0,249.13,189.85
7.365159273147583,190.0,249.13,188.76
7.393980264663696,190.0,250.8,189.86
7.422444820404053,190.0,250.8,189.85
7.4469757080078125,190.0,250.8,190.41
7.475917816162109,190.0,250.8,190.95
7.504590272903442,190.0,249.22,190.67
7.528911828994751,190.0,249.22,190.12
7.557640552520752,190.0,249.22,189.58
7.582348823547363,190.0,249.22,189.57
7.6115171909332275,190.0,250.16,190.4
7.6396472454071045,190.0,250.16,191.52
7.664186954498291,190.0,250.16,190.96
7.69290018081665,190.0,250.16,190.96
7.717612266540527,190.0,249.05,190.12
7.746139287948608,190.0,249.05,189.84
7.792798280715942,190.0,249.05,189.03
7.824786424636841,190.0,249.05,189.86
7.858377933502197,190.0,249.73,189.56
7.892297744750977,190.0,249.73,190.13
7.924258232116699,190.0,249.73,190.96
7.957974195480347,190.0,249.73,190.39
7.993530511856079,190.0,249.29,190.12
8.027958393096924,190.0,249.29,189.3
8.060871362686157,190.0,249.29,189.31
8.092260599136353,190.0,249.29,190.14
8.124114513397217,190.0,249.4,191.24
8.15562653541565,190.0,249.4,190.98
8.187008619308472,190.0,249.4,190.14
8.219701766967773,190.0,249.4,189.84
8.252498865127563,190.0,249.62,189.57
8.283915996551514,190.0,249.62,189.29
8.3135347366333,190.0,249.62,189.86
8.344576597213745,190.0,249.62,189.58
8.374191522598267,190.0,249.91,190.96
8.404479265213013,190.0,249.91,190.41
8.437062501907349,190.0,249.91,190.12
8.467336177825928,190.0,249.91,189.84
8.495329856872559,190.0,249.81,189.57
8.525827407836914,190.0,249.81,189.59
8.556037664413452,190.0,249.81,190.12
8.58809781074524,190.0,249.81,190.67
8.619995355606079,190.0,249.11,190.4
8.651254177093506,190.0,249.11,190.41
8.68241000175476,190.0,249.11,189.85
8.711552858352661,190.0,249.11,189.3
8.742858171463013,190.0,250.13,189.31
8.775078296661377,190.0,250.13,190.41
8.807997941970825,190.0,250.13,189.85
8.839686393737793,190.0,250.13,190.96
8.870743989944458,190.0,248.86,190.41
8.902647495269775,190.0,248.86,190.12
8.933500528335571,190.0,248.86,189.57
8.96299147605896,190.0,248.86,189.29
8.9945228099823,190.0,250.05,189.86
9.024855136871338,190.0,250.05,190.12
9.056251049041748,190.0,250.05,190.96
9.085864067077637,190.0,250.05,190.96
9.116546392440796,190.0,248.78,190.12
9.146512985229492,190.0,248.78,189.85
9.177526950836182,190.0,248.78,189.86
9.209731817245483,190.0,248.78,189.3
9.241406202316284,190.0,249.96,190.13
9.273446559906006,190.0,249.96,189.57
9.3038911819458,190.0,249.96,190.68
9.334843873977661,190.0,249.96,190.41
9.365833759307861,190.0,249.19,190.68
9.396775960922241,190.0,249.19,189.84
9.427456855773926,190.0,249.19,189.85
9.46025538444519,190.0,249.19,189.85
9.490700960159302,190.0,249.56,190.12
9.522653818130493,190.0,249.56,189.85
9.554327011108398,190.0,249.56,190.68
9.586796760559082,190.0,249.56,190.41
9.62011981010437,190.0,249.11,190.4
9.653272867202759,190.0,249.11,189.58
9.68682050704956,190.0,249.11,189.02
9.720363140106201,190.0,249.11,189.86
9.752681732177734,190.0,249.46,190.96
9.785517454147339,190.0,249.46,190.41
9.817124366760254,190.0,249.46,190.68
9.8476402759552,190.0,249.46,190.12
9.880810260772705,190.0,249.28,189.57
9.913120985031128,190.0,249.28,189.58
9.946281909942627,190.0,249.28,189.03
9.978522062301636,190.0,249.28,189.86
10.012061595916748,190.0,249.47,189.85
10.044398307800293,190.0,249.47,190.41
10.077054738998413,190.0,249.47,189.57
10.10914158821106,190.0,249.47,189.57
10.14004373550415,190.0,249.78,189.57
10.172178030014038,190.0,249.78,189.63
10.203536033630371,190.0,249.78,189.57
10.234970569610596,190.0,249.78,190.41
10.267152786254883,190.0,249.17,190.68
10.297887563705444,190.0,249.17,189.84
10.32905888557434,190.0,249.17,189.57
10.361252546310425,190.0,249.17,189.29
10.393255949020386,190.0,250.04,189.29
10.425337553024292,190.0,250.04,190.12
10.458088636398315,190.0,250.04,190.41
10.491358041763306,190.0,250.04,190.12
10.525635719299316,190.0,249.52,190.68
10.557066202163696,190.0,249.52,190.4
10.588242769241333,190.0,249.52,189.29
10.619722604751587,190.0,249.52,188.75
10.650368928909302,190.0,250.71,190.12
10.680307865142822,190.0,250.71,189.57
10.712462663650513,190.0,250.71,190.4
10.744659185409546,190.0,250.71,190.96
10.777657747268677,190.0,249.12,152.2
10.807024955749512,190.0,249.12,189.57
10.837273836135864,190.0,249.12,189.57
10.867681503295898,190.0,249.12,189.57
10.897144079208374,190.0,250.07,190.41
10.927035570144653,190.0,250.07,190.98
10.957900762557983,190.0,250.07,190.69
10.987849235534668,190.0,250.07,190.12
11.018962144851685,190.0,249.71,190.12
11.048481464385986,190.0,249.71,189.58
11.079788208007812,190.0,249.71,188.75
11.10999345779419,190.0,249.71,189.58
11.139894247055054,190.0,250.16,189.85
11.16963815689087,190.0,250.16,190.41
11.200790166854858,190.0,250.16,190.4
11.22936201095581,190.0,250.16,190.67
11.262888193130493,190.0,249.31,189.84
11.294543266296387,190.0,249.31,189.3
11.32346487045288,190.0,249.31,189.57
11.354401111602783,190.0,249.31,189.58
11.384615421295166,190.0,250.08,190.12
11.413716316223145,190.0,250.08,190.96
11.443417310714722,190.0,250.08,190.39
11.472724914550781,190.0,250.08,190.4
11.503143787384033,190.0,249.48,190.13
11.533843994140625,190.0,249.48,188.48
11.563612699508667,190.0,249.48,189.86
11.592970609664917,190.0,249.48,190.12
11.624861478805542,190.0,249.59,191.24
11.65679669380188,190.0,249.59,190.4
11.689105749130249,190.0,249.59,190.68
11.720710515975952,190.0,249.59,190.4
11.751937627792358,190.0,249.31,190.12
11.783087015151978,190.0,249.31,190.13
11.812724828720093,190.0,249.31,189.84
11.84490156173706,190.0,249.31,191.24
11.875169277191162,190.0,248.42,191.24
11.906462669372559,190.0,248.42,190.4
11.93757152557373,190.0,248.42,190.68
11.968289613723755,190.0,248.42,189.85
12.000847339630127,190.0,249.27,189.57
12.03269338607788,190.0,249.27,189.86
12.063435792922974,190.0,249.27,190.98
12.094755172729492,190.0,249.27,190.96
12.126198530197144,190.0,248.32,191.52
12.15743088722229,190.0,248.32,190.4
12.188904523849487,190.0,248.32,190.12
12.220442295074463,190.0,248.32,189.85
12.251856565475464,190.0,249.01,189.58
12.28305196762085,190.0,249.01,189.85
12.312696933746338,190.0,249.01,190.12
12.343626976013184,190.0,249.01,190.96
12.374601602554321,190.0,248.06,190.96
12.406476736068726,190.0,248.06,190.4
12.43678879737854,190.0,248.06,190.13
12.467153072357178,190.0,248.06,190.12
12.496179580688477,190.0,248.5,189.57
12.526543855667114,190.0,248.5,190.68
12.557525634765625,190.0,248.5,190.96
12.587751865386963,190.0,248.5,190.96
12.617418050765991,190.0,247.71,191.24
12.647625923156738,190.0,247.71,190.95
12.676853656768799,190.0,247.71,190.4
12.706427574157715,190.0,247.71,190.12
12.736225128173828,190.0,248.15,190.13
12.76557207107544,190.0,248.15,190.68
12.795881986618042,190.0,248.15,191.24
12.825723886489868,190.0,248.15,191.24
12.8567476272583,190.0,247.11,191.24
12.88763427734375,190.0,247.11,190.4
12.919333457946777,190.0,247.11,189.85
12.948136568069458,190.0,247.11,188.75
12.979542970657349,190.0,248.95,189.57
13.012993574142456,190.0,248.95,189.57
13.044406652450562,190.0,248.95,190.96
13.078022241592407,190.0,248.95,190.96
13.110697507858276,190.0,247.36,190.12
13.141700267791748,190.0,247.36,189.85
13.173368453979492,190.0,247.36,189.86
13.205546140670776,190.0,247.36,189.57
13.237821340560913,190.0,248.3,190.14
13.27062463760376,190.0,248.3,190.68
13.30283260345459,190.0,248.3,190.96
13.33435344696045,190.0,248.3,190.4
13.364958047866821,190.0,247.7,190.67
13.395418643951416,190.0,247.7,189.84
13.42668104171753,190.0,247.7,189.84
13.45848798751831,190.0,247.7,189.57
13.490554571151733,190.0,248.31,190.41
13.52319860458374,190.0,248.31,190.41
13.554189205169678,190.0,248.31,190.96
13.585832834243774,190.0,248.31,190.4
13.614834547042847,190.0,247.71,190.12
13.644161462783813,190.0,247.71,189.86
13.674753665924072,190.0,247.71,189.03
13.70667052268982,190.0,247.71,190.4
13.738540887832642,190.0,247.58,190.68
13.770742177963257,190.0,247.58,190.69
13.801771879196167,190.0,247.58,190.4
13.831470012664795,190.0,247.58,190.4
13.861831188201904,190.0,247.45,189.86
13.89287781715393,190.0,247.45,189.3
13.924161672592163,190.0,247.45,189.86
13.955338954925537,190.0,247.45,189.85
13.986369371414185,190.0,247.82,190.12
14.017163276672363,190.0,247.82,190.68
14.04856562614441,190.0,247.82,190.41
14.079165935516357,190.0,247.82,190.4
14.111529111862183,190.0,247.37,189.85
14.143935441970825,190.0,247.37,189.29
14.174899816513062,190.0,247.37,190.13
14.207485675811768,190.0,247.37,190.12
14.239197254180908,190.0,247.49,190.96
14.270679473876953,190.0,247.49,190.67
14.299887895584106,190.0,247.49,190.4
14.329702377319336,190.0,247.49,190.4
14.360262393951416,190.0,247.2,190.12
14.3911771774292,190.0,247.2,189.57
14.422587156295776,190.0,247.2,190.68
14.454804420471191,190.0,247.2,190.96
14.485214948654175,190.0,246.57,190.67
14.517043590545654,190.0,246.57,191.24
14.547763109207153,190.0,246.57,190.68
14.578060626983643,190.0,246.57,190.12
14.609054565429688,190.0,247.01,189.31
14.640708446502686,190.0,247.01,189.85
14.674153804779053,190.0,247.01,189.86
14.70569634437561,190.0,247.01,190.96
14.736798286437988,190.0,246.22,190.4
14.767465591430664,190.0,246.22,190.41
14.799926042556763,190.0,246.22,190.12
14.829890489578247,190.0,246.22,189.29
14.86074161529541,190.0,247.41,189.58
14.892181158065796,190.0,247.41,190.13
14.924097061157227,190.0,247.41,190.96
14.957963228225708,190.0,247.41,191.24
14.989534139633179,190.0,245.89,191.24
15.022003412246704,190.0,245.89,190.4
15.053785800933838,190.0,245.89,190.4
15.085575580596924,190.0,245.89,189.58
15.115778684616089,190.0,246.99,190.13
15.146198749542236,190.0,246.99,190.14
15.176584482192993,190.0,246.99,191.52
15.208781480789185,190.0,246.99,191.24
15.241173267364502,190.0,245.62,191.24
15.273207664489746,190.0,245.62,190.67
15.305949926376343,190.0,245.62,190.12
15.338207721710205,190.0,245.62,190.12
15.36952519416809,190.0,246.23,189.6
15.400472402572632,190.0,246.23,190.68
15.43131136894226,190.0,246.23,190.68
15.462598085403442,190.0,246.23,191.51
15.49449634552002,190.0,244.94,190.68
15.525819063186646,190.0,244.94,190.67
15.557626724243164,190.0,244.94,189.85
15.58791446685791,190.0,244.94,189.58
15.618196725845337,190.0,246.19,189.86
15.647489786148071,160.0,246.19,190.4
15.678540229797363,160.0,246.19,190.68
15.708865642547607,160.0,246.19,191.24
15.740861177444458,160.0,217.78,190.12
15.772761344909668,160.0,217.78,189.29
15.804962396621704,160.0,217.78,188.48
15.837278604507446,160.0,217.78,188.76
15.868918180465698,160.0,209.95,188.75
15.89938735961914,160.0,209.95,188.76
15.932663202285767,160.0,209.95,188.77
15.963413000106812,160.0,209.95,188.48
15.99585247039795,160.0,200.94,187.14
16.026020765304565,160.0,200.94,186.87
16.05786943435669,160.0,200.94,186.87
16.090592622756958,160.0,200.94,187.41
16.12366509437561,160.0,192.73,186.86
16.155522108078003,160.0,192.73,186.06
16.186946392059326,160.0,192.73,185.01
16.21691370010376,160.0,192.73,185.01
16.248445510864258,160.0,186.05,185.56
16.279797077178955,160.0,186.05,185.3
16.310978174209595,160.0,186.05,184.23
16.343069553375244,160.0,186.05,182.95
16.387653589248657,160.0,179.86,183.2
16.42181420326233,160.0,179.86,183.98
16.45429539680481,160.0,179.86,183.45
16.48548936843872,160.0,179.86,182.18
16.515413284301758,160.0,173.16,182.69
16.549968957901,160.0,173.16,182.68
16.578796863555908,160.0,173.16,181.92
16.607837200164795,160.0,173.16,180.92
16.638625621795654,160.0,167.15,180.68
16.669455766677856,160.0,167.15,181.42
16.69872522354126,160.0,167.15,180.42
16.728346824645996,160.0,167.15,178.7
16.758659601211548,160.0,162.41,179.18
16.789002895355225,160.0,162.41,179.43
16.818328380584717,160.0,162.41,177.72
16.847328186035156,160.0,162.41,177.97
16.878358602523804,160.0,157.04,178.46
16.90844202041626,160.0,157.04,177.24
16.938124656677246,160.0,157.04,176.78
16.96867799758911,160.0,157.04,177.01
16.997875928878784,160.0,152.11,176.28
17.028403997421265,160.0,152.11,174.88
17.058913946151733,160.0,152.11,176.06
17.0912344455719,160.0,152.11,174.88
17.122517108917236,160.0,148.56,174.42
17.153884172439575,160.0,148.56,175.35
17.183931827545166,160.0,148.56,173.71
17.213109731674194,160.0,148.56,174.18
17.244327545166016,160.0,144.39,173.94
17.27491521835327,160.0,144.39,172.57
17.30467700958252,160.0,144.39,172.34
17.33616304397583,160.0,144.39,172.79
17.366530179977417,160.0,141.08,171.21
17.397202968597412,160.0,141.08,171.22
17.429826498031616,160.0,141.08,170.54
17.46143388748169,160.0,141.08,170.54
17.49347758293152,160.0,138.98,170.33
17.52507972717285,160.0,138.98,169.23
17.5560085773468,160.0,138.98,169.88
17.587948322296143,160.0,138.98,168.57
17.619909524917603,160.0,137.37,169.22
17.649790048599243,160.0,137.37,167.92
17.67905879020691,160.0,137.37,167.48
17.71075177192688,160.0,137.37,168.13
17.74273133277893,160.0,135.0,167.7
17.774949073791504,160.0,135.0,167.27
17.807478189468384,160.0,135.0,166.64
17.83851146697998,160.0,135.0,167.27
17.869601726531982,160.0,133.15,165.58
17.899434566497803,160.0,133.15,166.63
17.93001890182495,160.0,133.15,165.37
17.960743188858032,160.0,133.15,166.21
17.990540981292725,160.0,131.77,164.75
18.020627975463867,160.0,131.77,165.79
18.049805641174316,160.0,131.77,163.92
18.079436779022217,160.0,131.77,164.53
18.110307216644287,160.0,131.28,163.3
18.14119029045105,160.0,131.28,164.33
18.172770500183105,160.0,131.28,163.3
18.20288372039795,160.0,131.28,164.33
18.23316216468811,160.0,130.01,162.89
18.263264179229736,160.0,130.01,163.1
18.294150590896606,160.0,130.01,162.69
18.32576608657837,160.0,130.01,163.71
18.357802391052246,160.0,129.17,161.29
18.387805700302124,160.0,129.17,162.9
18.418110609054565,160.0,129.17,161.89
18.448636293411255,160.0,129.17,162.69
18.47883892059326,160.0,128.89,161.7
18.509591817855835,160.0,128.89,162.09
18.541000843048096,160.0,128.89,161.7
18.572065353393555,160.0,128.89,161.28
18.603854417800903,160.0,129.29,161.09
18.635009288787842,160.0,129.29,160.89
18.66421127319336,160.0,129.29,161.29
18.695104360580444,160.0,129.29,160.5
18.726947784423828,160.0,129.59,161.69
18.75809907913208,160.0,129.59,159.71
18.789557218551636,160.0,129.59,161.29
18.820289373397827,160.0,129.59,160.5
18.850462913513184,160.0,129.42,161.09
18.87950611114502,160.0,129.42,160.5
18.91111135482788,160.0,129.42,160.89
18.942517280578613,160.0,129.42,161.09
18.97491765022278,160.0,128.73,159.91
19.007792234420776,160.0,128.73,161.09
19.03927206993103,160.0,128.73,160.3
19.068785429000854,160.0,128.73,161.09
19.098015069961548,160.0,128.38,160.31
19.12868905067444,160.0,128.38,160.49
19.160496711730957,160.0,128.38,160.11
19.191025018692017,160.0,128.38,160.1
19.223474979400635,160.0,128.92,160.9
19.253909826278687,160.0,128.92,159.72
19.285287857055664,160.0,128.92,160.69
19.315348148345947,160.0,128.92,158.75
19.346644163131714,160.0,130.1,160.69
19.379506826400757,160.0,130.1,159.72
19.410239696502686,160.0,130.1,160.69
19.44115376472473,160.0,130.1,160.11
19.472994804382324,160.0,129.28,159.52
19.505210638046265,160.0,129.28,161.29
19.536680221557617,160.0,129.28,159.13
19.565768003463745,160.0,129.28,160.9
19.596181392669678,160.0,128.53,158.74
19.626441955566406,160.0,128.53,160.11
19.656401872634888,160.0,128.53,159.91
19.686670064926147,160.0,128.53,160.1
19.716020822525024,160.0,128.96,159.13
19.746387004852295,160.0,128.96,159.71
19.77633047103882,160.0,128.96,160.11
19.807934284210205,160.0,128.96,159.33
19.83932399749756,160.0,129.63,160.5
19.870826721191406,160.0,129.63,159.33
19.901739835739136,160.0,129.63,160.11
19.931511163711548,160.0,129.63,159.71
19.963237047195435,160.0,129.5,159.33
19.99334692955017,160.0,129.5,160.5
20.02427864074707,160.0,129.5,159.13
20.054367065429688,160.0,129.5,160.31
20.085609197616577,160.0,129.05,159.53
20.11487913131714,160.0,129.05,159.9
20.144800424575806,160.0,129.05,159.52
20.175356149673462,160.0,129.05,159.71
20.20701766014099,160.0,129.49,160.5
20.24011540412903,160.0,129.49,159.13
20.274195194244385,160.0,129.49,160.5
20.304659366607666,160.0,129.49,158.55
20.335652589797974,160.0,130.63,160.11
20.366588354110718,160.0,130.63,159.73
20.396273374557495,160.0,130.63,160.11
20.426741123199463,160.0,130.63,159.71
20.458518743515015,160.0,130.05,159.52
20.4888436794281,160.0,130.05,160.3
20.519641637802124,160.0,130.05,159.32
20.547878980636597,160.0,130.05,160.31
20.578896045684814,160.0,129.61,159.72
20.60923409461975,160.0,129.61,159.71
20.63925576210022,160.0,129.61,159.72
20.66946816444397,160.0,129.61,160.1
20.698938131332397,160.0,129.69,160.69
20.730297327041626,160.0,129.69,159.33
20.760531902313232,160.0,129.69,160.11
20.7921085357666,160.0,129.69,158.55
20.8227858543396,160.0,131.06,160.11
20.853877305984497,160.0,131.06,159.92
20.88495659828186,160.0,131.06,160.3
20.914825439453125,160.0,131.06,159.91
20.945998191833496,160.0,130.3,159.91
20.977702379226685,160.0,130.3,160.5
21.009647130966187,160.0,130.3,159.91
21.043046236038208,160.0,130.3,160.69
21.07505512237549,160.0,129.62,159.72
21.105164527893066,160.0,129.62,160.11
21.135613918304443,160.0,129.62,159.73
21.16512656211853,160.0,129.62,160.49
21.195621252059937,160.0,129.58,159.72
21.225727319717407,160.0,129.58,159.91
21.256584405899048,160.0,129.58,160.5
21.287997007369995,160.0,129.58,159.91
21.31882667541504,160.0,129.95,161.09
21.348937511444092,160.0,129.95,159.72
21.380509853363037,160.0,129.95,160.3
21.4106547832489,160.0,129.95,160.3
21.442214250564575,160.0,129.62,160.1
21.47265601158142,160.0,129.62,160.89
21.50252628326416,160.0,129.62,159.13
21.531705856323242,160.0,129.62,160.7
21.563000679016113,160.0,129.17,158.94
21.593456268310547,160.0,129.17,160.5
21.62366247177124,160.0,129.17,160.11
21.653940677642822,160.0,129.17,159.91
21.685052633285522,160.0,129.66,159.91
21.713725328445435,160.0,129.66,159.13
21.745975255966187,160.0,129.66,160.3
21.776162147521973,160.0,129.66,159.72
21.807965755462646,160.0,129.86,160.7
21.838956117630005,160.0,129.86,159.14
21.869292974472046,160.0,129.86,160.11
21.897963285446167,160.0,129.86,159.91
21.92690396308899,160.0,129.77,159.52
21.957701444625854,160.0,129.77,160.31
21.988454341888428,160.0,129.77,159.13
22.01921057701111,160.0,129.77,159.72
22.051328897476196,160.0,129.97,158.75
22.08499526977539,160.0,129.97,159.52
22.11642098426819,160.0,129.97,158.94
22.149101495742798,160.0,129.97,159.91
22.181363105773926,160.0,129.9,159.13
22.213409185409546,160.0,129.9,159.13
22.247652053833008,160.0,129.9,159.72
22.28067445755005,160.0,129.9,158.94
22.312219381332397,160.0,130.8,160.3
